Program,Year,Period,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,NAPA,55,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING",TOTAL,NOT SPECIFIED,4,52.6
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,NAPA,55,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,6,54.7
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,NAPA,55,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,2,86.5
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN LUIS OBISPO,79,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING",TOTAL,NOT SPECIFIED,3,41.6
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN LUIS OBISPO,79,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,4,41.2
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN LUIS OBISPO,79,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES NON-BEARING",TOTAL,NOT SPECIFIED,1,(L)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN LUIS OBISPO,79,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING",TOTAL,NOT SPECIFIED,9,52.6
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN LUIS OBISPO,79,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,11,54.7
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN LUIS OBISPO,79,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,4,(L)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN MATEO,81,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN MATEO,81,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN MATEO,81,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING",TOTAL,NOT SPECIFIED,1,52.6
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN MATEO,81,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,1,54.7
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SANTA CLARA,85,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SANTA CLARA,85,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,21,41.2
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SANTA CLARA,85,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SANTA CLARA,85,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING",TOTAL,NOT SPECIFIED,4,52.6
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SANTA CLARA,85,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,7,54.7
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SANTA CLARA,85,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,4,86.5
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SANTA CRUZ,87,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SANTA CRUZ,87,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,1,41.2
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SANTA CRUZ,87,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SANTA CRUZ,87,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING",TOTAL,NOT SPECIFIED,5,52.6
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SANTA CRUZ,87,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,5,54.7
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SANTA CRUZ,87,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,1,86.5
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SONOMA,97,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING",TOTAL,NOT SPECIFIED,2,41.6
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SONOMA,97,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,2,41.2
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SONOMA,97,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES NON-BEARING",TOTAL,NOT SPECIFIED,1,67.2
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SONOMA,97,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING",TOTAL,NOT SPECIFIED,8,52.6
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SONOMA,97,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,14,54.7
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SONOMA,97,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,6,86.5
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,NORTHEAST,30,MODOC,49,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,NORTHEAST,30,MODOC,49,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,NORTHEAST,30,MODOC,49,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,2,(L)
